case_id,query,source_index,chunk_id,classification,source_content
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,3,course_009,FP,01076107 วงจรไฟฟ้าและอิเล็กทรอนิกส์ วิชาบังคับก่อน: ไม่มี พื้นฐานของวงจรไฟฟ้า กฎของโอห์ม กฎของเคอร์ซอฟ โครงสร้างวงจรแบบโหนดและ แบบลูป ทฤษฎีเทวินิน ทฤษฎีนอร์ตัน และซุปเปอร์โพซิชั่น ตัวเก็บประจุ ตัวเหนี่ยวนํา อุปกรณ์สารกึ่ง ตัวนํา คุณสมบัติทางกระแส แรงดันและความถี่ของอุปกรณ์อิเล็กทรอนิกส์ทฤษฎี รอยต่อ พีเอ็นเบื้องต้น วงจรไดโอด การวิเคราะห์และออกแบบวงจรทรานซิสเตอร์ชนิด BJT และ MOS การวิเคราะห์วงจรออป แอมป์และการประยุกต์ใช้งาน
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,4,course_013,FP,01076253 ความน่าจะเป็นและสถิติ วิชาบังคับก่อน: ไม่มี แนะนําพื้นฐานด้านความน่าจะเป็นและสถิติ ความน่าจะเป็นตัวแปรสุ่ม การแจกแจงความน่าจะเป็นแบบไม่ต่อเนื่อง การแจกแจงความน่าจะเป็นแบบต่อเนื่อง การแจกแจงตัวอย่าง การสุ่มตัวอย่าง และการแจกแจงการสุ่มตัวอย่าง การประมาณค่า การทดสอบสมมติฐาน การวิเคราะห์การถดถอยเชิงเส้น และสหสัมพันธ์
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,5,course_015,FP,01076103 พื้นฐานการเขียนโปรแกรมคอมพิวเตอร์ วิชาบังคับก่อน: ไม่มี แนะนําพื้นฐานที่สําคัญในการเขียนโปรแกรม โดยเน้นที่หลักการแก้ไขปัญหาด้วยวิธีการ ทางโปรแกรม เนื้อหาประกอบด้วย ชนิดของข้อมูล โครงสร้างการควบคุม ฟังก์ชัน อาร์เรย์ ไฟล์ พอยเตอร์ การสั่งให้โปรแกรมทํางาน การทดสอบโปรแกรม และการแก้ไขข้อผิดพลาดของโปรแกรม
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,6,course_021,FP,01076101 วิศวกรรมคอมพิวเตอร์เบื้องต้น วิชาบังคับก่อน: ไม่มี แนะนําบทบาทของวิศวกรรมคอมพิวเตอร์ ทั้งฮาร์ดแวร์และซอฟต์แวร์ วิชานี้มีเป้าหมายเพื่อให้ นักศึกษาได้เข้าใจบทบาทของคอมพิวเตอร์ในการแก้ไขปัญหาต่าง ๆ โดยช่วยนักศึกษาให้มีความมั่นใจในการ ปฏิบัติการ ประกอบ และทดสอบโครงงานทางฮาร์ดแวร์ตามเป้าหมายที่กําหนด โดยวิชานี้จะใช้บอร์ด ไมโครคอนโทรลเลอร์อาดูโนเป็นเครื่องมือในการทําโครงงาน
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,7,course_023,FP,01076105 การเขียนโปรแกรมเชิงวัตถุ วิชาบังคับก่อน: 01076103 พื้นฐานการเขียนโปรแกรมคอมพิวเตอร์ การออกแบบและพัฒนาซอฟต์แวร์ โดยใช้การเขียนโปรแกรมเชิงวัตถุ ประกอบด้วย อ็อบเจ็ก คลาส พอลีมอร์ฟิซึม การจัดการข้อยกเว้น การสืบทอด และอินเตอร์เฟส นักศึกษาสามารถวิเคราะห์ข้อกําหนดของ โปรแกรม และระบุอ็อบเจ็กและคลาสที่เหมาะสม การติดต่อกับผู้ใช้แบบกราฟิก และการสร้างแบบจําลองยูเอ็มแอลสําหรับระบบขนาดเล็ก
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,8,course_039,FP,01076116 เครือข่ายคอมพิวเตอร์ วิชาบังคับก่อน: ไม่มี แนวคิดพื้นฐานและโพรโทคอลในเครือข่ายคอมพิวเตอร์ โดยเฉพาะเครือข่ายไอพี การสวิตช์แบบแพ็กเกจและการสวิตช์แบบวงจร สถาปัตยกรรมระดับชั้นเครือข่าย โพรโทคอลในระดับชั้นแอปพลิเคชัน ชุดโพรโทคอล ทีซีพีไอพี โพรโทคอลหาเส้นทาง โทรโตคอลระดับลิงก์ และเครือข่ายมัลติเปิลแอกแซส มาตรฐานเครือข่ายแบบสาย และไร้สาย
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,9,course_043,FP,01076011 ระบบปฏิบัติการ วิชาบังคับก่อน: ไม่มี โครงสร้างและการจัดการของระบบปฏิบัติการ การควบคุม การสื่อสารและการประสานงานของ โพรเซสที่ร่วมงาน โพรเซสเซอร์และการจัดตารางงาน โครงสร้างหน่วยความจําและการจัดการรวมถึง เพจจิ้ง เซ็กเมนเตชันและหน่วยความจําเสมือน การบริหารทรัพยากร การป้องกัน การตรวจจับและการกู้คืนล็อคตาย แนวคิด และโครงสร้างของระบบไฟล์ การป้องกันและความมั่นคง การประมวลผลแบบกระจาย การทํางานแบบเสมือนและ การประมวลผลแบบคราวด์
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,10,course_045,FP,01076012 โครงสร้างแบบดิสครีต วิชาบังคับก่อน: ไม่มี เซ็ต ฟังก์ชัน และความสัมพันธ์ การพิสูจน์และการพิสูจน์โดยอุปนัย ทฤษฎีจํานวน การนับ ความน่าจะเป็น ตรรกศาสตร์เชิงประพจน์ การอนุมานเชิงตรรกะ ตรรกศาสตร์เชิงลําดับแรก กราฟ
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,11,course_047,FP,01076121 ทฤษฎีการคํานวณ วิชาบังคับก่อน: ไม่มี ไฟไนต์ออโตมาตา นิพจน์เรกูลาร์ ออโตมาตาแบบพุชดาวน์ ไวยากรณ์คอนเท็กซ์ฟรี ปัมปิงเลมมา ทัวริงแมชีน การวัดความซับซ้อนของเวลาและพื้นที่ ปัญหาพีและเอ็นพีสมบูรณ์
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,12,course_049,FP,01076263 ระบบฐานข้อมูล วิชาบังคับก่อน: ไม่มี แนวคิดของระบบฐานข้อมูล แฟ้มข้อมูลและฐานข้อมูล สถาปัตยกรรมของระบบ ฐานข้อมูล หน่วยข้อมูลและความสัมพันธ์ของหน่วยข้อมูล การออกแบบฐานข้อมูลด้วยวิธีแผนภาพอีอาร์ การออกแบบฐานข้อมูลด้วย วิธีนอร์มัลไลเซชัน โครงสร้างฐานข้อมูลแบบลําดับชั้น แบบเครือข่าย และแบบเชิงสัมพันธ์ ภาษาฐานข้อมูลและภาษาเรียกค้นข้อมูล
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,13,course_053,FP,"01076119 การพัฒนาโปรแกรมบนเว็บ วิชาบังคับก่อน: 01076105 การเขียนโปรแกรมเชิงวัตถุ วิชานี้เป็นส่วนหนึ่งของการฝึกฝนด้านการพัฒนาซอฟต์แวร์ โดยให้ความสำคัญกับการ ออกแบบ โดยมุ่งที่การสร้างเว็บแอปพลิเคชัน ประกอบด้วย พื้นฐานของเว็บ เอชทีเอ็มแอล สไตล์ชีทแบบลำดับขั้น การออกแบบโมเดลวิวคอนโทรลเลอร์ เฟรมเวิร์กของเว็บ โมเดลของข้อมูลและอ็อบเจ็ก , แนวคิด ในการออกแบบ, จาวาสคริปต์, ดอม, อีเวนต์และอาแจ็ก"
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,14,course_061,FP,01076052 ระบบสมองกลฝังตัวแบบเรียลไทม์ วิชาบังคับก่อน: 01076112 พื้นฐานระบบดิจิตอล เนื้อหาของรายวิชาแบ่งออกเป็นสองส่วนหลัก ได้แก่ ส่วนแรกเน้นความรู้ความเข้าใจ เกี่ยวกับระบบปฏิบัติการแบบทันเวลา ( RTOS) ประกอบไปด้วย การทำงานให้ทันภายในเวลาที่กำหนด การจัดลำดับการประมวลผล การจัดการอินเตอร์รัพต์และระยะเวลาการตอบสนองต่ออินเตอร์รัพต์ การ ประสานงานของทาสก์ การติดต่อสื่อสารระหว่างทาสก์ และการแก้จุดบกพร่องแบบทันเวลา ส่วนที่สองครอบคลุมแนวคิดพื้นฐานในการพัฒนาโปรแกรมและการแก้จุดบกพร่องสำหรับแอพพลิเคชันบนลินุกซ์ องค์ประกอบของลินุกซ์เคอร์เนล การพัฒนาโปรแกรมดีไวซ์ไดรเวอร์ การเริ่มต้นระบบ ระบบ ไฟล์ และการนำอุปกรณ์ฝังตัวที่พัฒนาบนลินุกซ์ไปใช้งานจริง
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,15,course_063,FP,"01076053 อินเตอร์เน็ตในทุกสิ่งและระบบอัจฉริยะ วิชาบังคับก่อน: 01076112 พื้นฐานระบบดิจิตอล แนะนำแนวคิดและเทคโนโลยีของอินเตอร์เน็ตในทุกสิ่ง อุปกรณ์อัจฉริยะ การสื่อสาร (บีแอลอี, ไวไฟ, เครือข่ายเซ็นเซอร์ไร้สาย , ลอรา, ซิกซ์บี) เอเจนต์และระบบหลายเอเจนต์ โพรโทคอล (เฮชทีทีพี , ยูพีเอ็นพี , ซี โอเอพี, เอ็มคิวทีที, เอ็กซ์เอ็มพีพี) เพลตฟอร์มให้บริการอินเตอร์เน็ตในทุกสิ่ง ความปลอดภัยและการทำงานร่วมกัน"
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,16,course_065,FP,01076034 หลักการของกระบวนการพัฒนาซอฟต์แวร์ วิชาบังคับก่อน: 01076105 การเขียนโปรแกรมเชิงวัตถุ แนะนำหลักการและการปฏิบัติสำหรับการพัฒนาซอฟต์แวร์สมัยใหม่ รวมถึงกระบวนการทาง ซอฟต์แวร์ในการพัฒนาผลิตภัณฑ์ที่ใช้งานได้จริง ประกอบด้วย รูปแบบวงจรชีวิตของซอฟต์แวร์ ไอดีอี ระบบ ควบคุมเวอร์ชัน การหาความต้องการของผู้ใช้ การพัฒนาซอฟต์แวร์เชิงวัตถุและยูเอ็มแอล สถาปัตยกรรมซอฟต์แวร์ การออกแบบและพัฒนาซอฟต์แวร์ การทดสอบ และการปรับปรุงซอฟต์แวร์
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,17,course_067,FP,01076035 กระบวนการพัฒนาซอฟต์แวร์เชิงปฏิบัติ วิชาบังคับก่อน: 01076105 การเขียนโปรแกรมเชิงวัตถุ แนะนำหลักการและการปฏิบัติสำหรับการพัฒนาซอฟต์แวร์สมัยใหม่ รวมถึงกระบวนการทาง ซอฟต์แวร์ในการพัฒนาผลิตภัณฑ์ที่ใช้งานได้จริง ประกอบด้วย รูปแบบวงจรชีวิตของซอฟต์แวร์ ไอดีอี ระบบควบคุมเวอร์ชัน การหาความต้องการของผู้ใช้ การพัฒนาซอฟต์แวร์เชิงวัตถุและยูเอ็มแอล สถาปัตยกรรมซอฟต์แวร์ การออกแบบและพัฒนาซอฟต์แวร์ การทดสอบ และการปรับปรุงซอฟต์แวร์
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,18,course_069,FP,01076036 การออกแบบประสบการณ์และส่วนติดต่อผู้ใช้ วิชาบังคับก่อน: 01076105 การเขียนโปรแกรมเชิงวัตถุ วิชานี้แนะนําขั้นตอนของการออกแบบประสบการณ์และการออกแบบส่วนติดต่อผู้ใช้งาน โดยจะมีจุดมุ่งหมายให้นักศึกษาได้คุ้นเคยกับแนวคิด วิธีปฏิบัติ และเทคนิคที่จําเป็นในการสร้างประสบการณ์ของผู้ใช้งาน ซึ่งเป็นส่วนหนึ่งของการพัฒนาการเชื่อมโยงข่าวสาร วิชานี้จะให้นักศึกษาได้มีโอกาสในการค้นหาทรัพยากร พัฒนา ทักษะ และฝึกปฏิบัติที่จําเป็นต่อการออกแบบ พัฒนา และประเมินส่วนติดต่อข้อมูลจากมุมมองของผู้ใช้งาน
